,s_seker,1,2,3,4,5,6,7,8,9,10,total
net,2012,3749.4009896260586,6139.967355287195,8215.95600388843,10216.998886663196,12196.565402637514,13955.329005559928,16676.419165395713,19319.39491780781,23800.99487336145,35336.07794094086,14962.830632180843
net,2013,4147.43752603925,6343.908090842473,8323.2174594583,10866.94142980648,12893.661664924357,15140.135275300028,17404.714445631944,20157.249022740245,24661.833676301336,35865.911434882066,15583.139156023359
net,2014,4208.5833212761,6330.553363979134,8675.658525396955,11016.787449074518,12981.472858393177,15398.094824499312,17938.25340644237,20727.074435000894,24799.71528456842,38556.07132699566,16067.619656413955
net,2015,4079.0949655842965,6341.7876890573225,8632.967804518807,11765.172791996647,13896.657578254068,15839.859124595134,18311.978288905917,21717.033979340522,25674.555161312277,38379.43700252217,16466.346537042442
net,2016,4261.6285574550875,7163.157856357213,9570.713325842386,11682.958433327802,14349.342545570793,16042.666004381736,19209.18652272138,22780.072516913275,26242.21636984597,37735.171528795596,16905.091921624706
net,2017,4553.078300857122,7224.355477094858,10161.971515042806,12750.165529103784,14890.661038088947,17278.768148299045,20163.775162148828,22877.95139400453,27899.83697377499,39032.196487684385,17685.403396445105
net,2018,5082.027681392042,7711.634487695764,10572.73298337321,13324.450481345522,15352.752230678161,17189.619439743576,20647.933790780287,23619.19197218294,27289.56757119129,42645.60155248499,18348.904347546602
net,2019,4673.864246694307,7285.631683132445,9786.128202868194,12241.628140947327,15146.995840458374,16986.770205845947,19782.50374644025,22404.74974506974,27475.638284622768,38595.71856133211,17440.763046869033
net,2020,4819.981590317706,7288.303945870995,9479.137582222493,11974.719664313654,14628.61073722295,16897.15395621671,19635.992033715615,23408.55105736915,26863.586073629074,37841.648878814485,17290.273435811196
net,2021,4276.826534748953,7014.567779214235,9229.521063188968,12038.077782833656,14195.239108004605,16758.3634355143,19630.205455577223,23326.821445847905,27051.194109659336,40242.03106336853,17378.849924880342
net,2022,5063.120065177617,8124.998798698792,10416.683357492511,12999.633342067807,15847.218863021604,16426.596805021556,20836.788164799815,23178.48609453113,28279.47063074475,41090.733829558216,18235.639940019413
c3,1997,5217.709023964779,7336.19119643115,8525.745908414174,10154.529903405437,10930.631659052691,12536.549547267781,13652.453720123478,15646.878890123864,18430.702239783262,25582.786351891984,12803.36927043046
c3,1998,5449.079720976007,7541.539927381251,8438.879019287135,9649.44552305497,10617.55429478441,11937.70243541892,13726.004137795508,15632.05220828312,18909.522375624478,26507.94060218591,12842.566954627693
c3,1999,5134.257100971558,7492.893068926615,8672.99280059412,10086.319922020268,10977.775583044606,12887.553936433187,14371.497323191054,16100.593095285392,19674.43581701511,27605.02933785602,13302.26829589852
c3,2000,5427.307599284895,7751.520023587952,8900.961232342248,10233.384915294848,11274.02276534266,12834.632451775971,15009.769474759829,17295.749047404322,19519.15606089331,28952.611261124774,13722.899979801588
c3,2001,5718.556859024103,7966.728480229996,9387.469573218214,10623.352920085585,11838.471090713429,13151.595707350922,15027.250524031771,17269.026373502147,20238.141459553186,28697.91516142963,13994.994800242097
c3,2002,5733.3446363371995,7843.859802740319,8963.975908757177,10648.475872506942,11817.198847020745,13220.48184895239,15105.19176967475,16748.448876074646,19583.066526948467,27977.287647771125,13766.098656123126
c3,2003,5582.295373907329,7923.949279001255,9053.997607091576,9826.981315998071,11027.058987682218,12339.061223681316,14541.70746149459,16307.381214813915,19042.52211640672,27001.506867484666,13266.523490739246
c3,2004,5394.241539664344,7295.682511584796,8774.681639854061,10493.06614089024,11311.365379440153,12824.733268678201,14934.008622775667,17526.445262105142,20603.658835800765,27999.395298336527,13717.894645037819
c3,2005,5267.649523375392,7402.586128407327,8987.937045947323,10414.27540119289,12112.468658475345,13235.831336192148,14979.224722790692,17559.343137360018,20594.72368319976,29642.358126914878,14023.96885793498
c3,2006,5575.894222430664,7816.555088523167,9251.133746412166,10770.838765541854,12017.058546917997,13135.342061976831,15160.35799183524,17339.539813849173,20301.509079647956,29974.649817100617,14136.802988880187
c3,2007,5774.464969039979,8346.864164439288,9517.647331084816,10845.59465708617,11958.66166871844,14577.765652590198,15913.098756562425,18324.023283732684,20585.97823962416,30486.833565291643,14634.541580703004
c3,2008,5731.146416551162,7954.092845883866,9626.42171525276,11187.600732526931,13260.894400937159,14614.704775032786,16253.878965471036,18097.921131007617,21965.89394896342,30349.470931988446,14906.837828624737
c3,2009,5825.1226332422975,8460.766251244328,9909.203671452562,11416.699248685398,12724.001491837123,14364.418206321252,16967.075126184794,18299.133241031912,21883.268443755573,32221.387119563617,15208.746814385531
c3,2010,5978.333382098464,8633.357574410933,10152.521961126919,11303.896405676645,13080.008598902548,14855.88658307646,16391.837190521317,18929.85592186188,22142.0915720008,32152.15423289427,15363.72145201482
c3,2011,6021.060983488958,8830.94022615262,10108.874831395653,11507.091076199868,13611.178796626195,14646.115326394172,17084.17085203222,19177.022285651394,21697.94703163642,30972.744818408613,15369.5183540108
c3,2012,6181.095032180372,8663.26969526948,10650.529584567144,11892.698624044886,14065.434293438815,15397.63336844404,16667.00178597815,18915.603314020824,21697.871962594567,30277.020042697568,15442.433014987122
c3,2013,6240.7955952512275,8563.529517419889,10279.305904470391,11710.75670557684,13215.865340908498,14812.926757099256,16113.435185424189,19005.22646262461,22197.38771383089,32381.317095290127,15454.119504150987
c3,2014,6517.41592410601,9227.407196558777,10470.164008396961,12095.879010339178,13756.218232486179,15432.602325108599,17208.99696565934,20361.675307821435,23272.4507846704,31297.969896293136,15965.51076308412
c3,2015,6853.811483876419,9264.167768322624,11026.717581075938,12755.587999528601,14068.302468497712,15974.316157528812,17971.196487908044,19689.058374225828,23088.693757428577,33749.48993382703,16445.396737050738
c3,2016,6963.517797663877,9713.83260534812,11009.544594985202,12929.354258686095,14452.496633529976,16453.959871546216,17870.899130304624,20868.696204697564,24250.834719816165,35098.075608771425,16962.638657702475
c3,2017,7192.714586977057,10000.937788100458,11214.510632367525,13358.902843110865,15296.022667018578,16725.4971645736,18813.830293190502,21241.93031344884,24684.364890741075,35623.74519530882,17416.72471422632
c3,2018,7244.584251769895,9605.699108036875,11699.209395860184,13643.535514330566,14925.79693507934,16665.824028694045,18757.169766128736,21435.549994473506,24967.309333061694,36019.816079047465,17498.266096517116
c3,2019,7096.669150395284,9654.55711135135,11342.894204540955,12708.466436091581,14254.933329791322,16365.374724989375,18009.33135358206,21129.182261451537,23798.625978334603,34017.106055602846,16838.85463533444
c3,2020,6606.304337593919,8771.200869273678,10215.880478363737,11524.220081718046,12609.543338441079,13828.465804366231,15928.158853504587,17487.604877814952,19133.429441705557,27078.915396078726,14319.681839560659
c3,2021,6753.821731088119,9710.764296484282,10778.552412125879,12381.84906879739,13185.661682294498,15451.4649856768,16624.90847656022,18424.553757066464,22176.762775908686,32352.129968092333,15785.771497895501
c3,2022,7936.715392170246,10502.449828160525,11555.47627602793,13601.98940665194,15665.738756376606,16857.498312411048,18533.28513759375,21051.639355686475,24594.178089395067,35602.970659425446,17598.479871565993
