,decile_1,decile_2,decile_3,decile_4,decile_5,decile_6,decile_7,decile_8,decile_9,decile_10
1997,0.09994155781465659,0.0999788055895188,0.10004908917104018,0.09984227727029002,0.10015163742284298,0.09995712799326216,0.09994565200831257,0.10005891217762494,0.10006140966474188,0.10001353088770988
1998,0.08628746664896995,0.09748773302152453,0.10852112393715442,0.09278292243313466,0.10504111542658912,0.11486174799041729,0.09094480697199392,0.10815217381416531,0.09252612040343983,0.10339478935261098
1999,0.0695285533168907,0.08982321579599443,0.10023802255071829,0.09556463886971005,0.09331666808863502,0.10744076299090254,0.10719312344812387,0.1153230794377003,0.1009204884183762,0.1206514470829486
2000,0.052754317532868106,0.08510500582255047,0.09240916540880843,0.08813152945658655,0.09768795213707149,0.1084991767800239,0.10452831850733708,0.12494623781714298,0.1023158646224094,0.1436224319152016
2001,0.048109179748354616,0.062343971165082876,0.10328420174858195,0.08299551091938837,0.09443581019887153,0.11080166914400555,0.10117226555716217,0.12325849134361955,0.1172708088422715,0.15632809133266187
2002,0.06776792012442827,0.06502326382065195,0.0983576047990178,0.08463172918498185,0.10053778660120934,0.11500922924829002,0.10192336263695227,0.11689112854531618,0.1076415999292746,0.14221637510987772
2003,0.0767550247185431,0.06981812884211142,0.10271437344359617,0.08923389647777052,0.09388893409924769,0.09697111686218461,0.09909795317894905,0.12648816243635197,0.10567860505364855,0.1393538048875969
2004,0.07840151663975793,0.07028524030299568,0.09195025217447768,0.07638932745181491,0.08213776981671417,0.1096727945333672,0.09498934116797826,0.12161629409568171,0.11097750798592713,0.16357995583128523
2005,0.07565824654832372,0.061058363481204095,0.09206352966004352,0.08236522310351085,0.08794814612032772,0.09744459942573087,0.09530846117951373,0.1199124899568532,0.11377000874746096,0.1744709317770313
2006,0.06607252213275135,0.05665035272404861,0.09068984058853874,0.08533732482296058,0.08103157296767628,0.10031206492677842,0.10289014381100567,0.12181166581961955,0.11981522281305547,0.17538928939356527
2007,0.057805822538022224,0.05219978943001694,0.09307774704262586,0.0694060822410188,0.08872249015884888,0.09567404330299113,0.0983948230088089,0.11957598786826021,0.13040025732513078,0.19474295708427627
2008,0.058065710208367774,0.04415850714866454,0.08990607330735774,0.07788565839829449,0.08673645710355907,0.09013053751107357,0.09589039585120326,0.12666721303264236,0.12876720720532742,0.20179224023350986
2009,0.06287082883700607,0.04874463614155895,0.09172567128888857,0.0714946303887365,0.09491969837672756,0.08433485894801632,0.08958807196196146,0.12574714031754808,0.12629863883143816,0.2042758249081183
2010,0.06194965177878321,0.04550007982213586,0.08728745795175968,0.07266953972538705,0.08139626313613568,0.09138518384659697,0.09289663673820069,0.12550088938259005,0.13288754479348952,0.20852675282492125
2011,0.0509546941091248,0.04145743295938233,0.09164143548930556,0.07308551307412177,0.08666685982149254,0.08938859779010967,0.08987939430871514,0.12044181879939177,0.133399710708627,0.2230845429397294
2012,0.05600209872331531,0.033955166617181086,0.07417219779514728,0.06550633741292353,0.08080135403980122,0.08689252861142774,0.09686528739259632,0.13078173997809853,0.13307704068557305,0.24194624874393594
2013,0.043323081711789974,0.03449289798330959,0.06340590159742712,0.06695042858113308,0.07702833530600577,0.0928000909705934,0.09228130087611407,0.13009103480107267,0.14372135980998293,0.25590556836257145
2014,0.044704893815060626,0.03190981172626957,0.06474135835944497,0.05958254929287773,0.07523292771820674,0.08472456337137609,0.09569775149870191,0.12469123121008656,0.1517647187959983,0.2669501942119774
2015,0.04427343177532844,0.03452065981842144,0.05607535493387453,0.059618190413464875,0.07194219440495532,0.08145736302524434,0.08645173828242886,0.13435163743351822,0.14391413272261697,0.2873952971901471
2016,0.036192532808332886,0.029732483293579907,0.05379763194664726,0.05860182499501111,0.06908920492870789,0.07902780521014074,0.09553900322456162,0.11831786378423666,0.15578934193956662,0.3039123078692154
2017,0.034138734283214504,0.027504659759510924,0.04366397195796872,0.057614080042449355,0.05777429411649789,0.07518556579434187,0.09540246670102911,0.12151186715970402,0.15325454125704935,0.3339498189282342
2018,0.028214545727042267,0.022072488732053495,0.04091081118213547,0.05710638294679777,0.05781164458434633,0.07324956504375157,0.08360769485041948,0.12400156019328655,0.16320539975593631,0.3498199069842308
2019,0.03303328848295638,0.023758697954998166,0.041468369801679936,0.065122447374267,0.06054122039213684,0.07348989047162456,0.09202736116444572,0.12417625046596173,0.15081478925001143,0.33556768464191816
2020,0.032249117642463646,0.016663855278538836,0.04827888829738192,0.06329183758108657,0.06439333759822738,0.08535273725523679,0.08925685370339684,0.1236675262698121,0.14595915341406418,0.3308866929597917
2021,0.03386988030795169,0.025131271132688454,0.041345211262739635,0.0675450507132679,0.06527919815927137,0.08500471862327338,0.08738395314843767,0.11843022989744509,0.14636316239725994,0.32964732435766486
2022,0.027035166819597355,0.0246364860351747,0.03367588821498253,0.04114871456988388,0.07252105950373768,0.07436321622822278,0.08006222164450195,0.1134913671175821,0.16324005820280432,0.3698258216635128
